date,sun_distance_au,sun_influence,jupiter_distance_au,jupiter_influence,saturn_distance_au,saturn_influence,venus_distance_au,venus_influence,mars_distance_au,mars_influence,total_planetary_influence,total_influence,coherence_mean,coherence_median,coherence_std,coherence_count,year
2024-03-15,148772080.35166404,1.5042877872964123e-11,837201405.3409988,4.534130289135815e-16,1597928900.4377599,3.7283961022388004e-17,233662170.5732875,1.492728399151495e-17,322513087.48809713,1.0287008340162525e-18,5.066529747615007e-16,1.5043384525938884e-11,0.00872554958718175,0.012796551123136983,0.7176230929690036,44230,2024
2024-03-16,148812005.69618285,1.503480713282128e-11,839026234.4509349,4.514428842691113e-16,1597331085.7428274,3.731187392145854e-17,234242267.67347077,1.4853441196460063e-17,321934823.24345154,1.032399689293076e-18,5.046405990763229e-16,1.5035311773420356e-11,0.006229381503545153,0.018704990952145555,0.7140672291768839,43048,2024
2024-03-17,148852104.9269442,1.5026707778155706e-11,840829014.1193206,4.495091270611843e-16,1596696412.7216616,3.7341542111382336e-17,234816915.78447148,1.4780830943648768e-17,321356743.35543025,1.0361173414121034e-18,5.026676174576275e-16,1.5027210445773164e-11,0.0015536134540108954,0.0015941839440807308,0.7147691413159457,44827,2024
2024-03-18,148892410.07092848,1.5018573426039756e-11,842609495.946075,4.476114573801293e-16,1596025092.0138063,3.7372961946441056e-17,235386123.6380349,1.4709431726251793e-17,320778911.835522,1.0398535002928977e-18,5.00733704553115e-16,1.5019074159744308e-11,-0.0026732210592853483,-0.008549704905535693,0.7175365821416279,43638,2024
2024-03-19,148932949.16863906,1.5010398518380065e-11,844367442.5970633,4.457495714379371e-16,1595317335.0438244,3.740613007063369e-17,235949893.0047475,1.463922343120967e-17,320201383.5383757,1.043607927573948e-18,4.988385328673544e-16,1.5010897356912934e-11,0.011830894515803176,0.024240213771554858,0.7157048047071847,43048,2024
2024-03-20,148973745.6803747,1.5002178438427222e-11,846102625.4175861,4.4392316439314666e-16,1594573353.337224,3.744104344560329e-17,236508218.86403778,1.4570187272676667e-17,319624204.50303274,1.047380435854219e-18,4.9698177554728075e-16,1.5002675420202768e-11,0.012603209875592087,0.03491907035979883,0.7193849210966398,43342,2024
2024-03-21,149014818.31420317,1.499390954180933e-11,847814822.7182245,4.4213193236288157e-16,1593793358.2907338,3.7477699357588184e-17,237061089.780293,1.4502305703373296e-17,319047412.45896536,1.05117088680771e-18,4.951631083106507e-16,1.499440470491764e-11,0.015132821755539512,0.025302985572555323,0.7085257109204871,41881,2024
2024-03-22,149056180.9893866,1.4985589160115116e-11,849503818.4913824,4.403755739093578e-16,1592977561.086987,3.751609541781002e-17,237608488.24942273,1.4435562333543423e-17,318471037.2693946,1.0549791896351678e-18,4.933822108503464e-16,1.4986082542325968e-11,0.010975785252508904,0.023866553372537506,0.7263613387557162,40163,2024
2024-03-23,149097842.7684587,1.4977215610681604e-11,851169401.3358595,4.3865379125406736e-16,1592126172.5972311,3.755622956361231e-17,238150390.91184437,1.4369941869682475e-17,317895101.23007745,1.0588053004111697e-18,4.916387679877733e-16,1.497770724944959e-11,0.00972782184752933,0.017604669871196924,0.7128235385194562,42171,2024
2024-03-24,149139807.69068295,1.4968788226043086e-11,852811363.4305271,4.369662913951648e-16,1591239403.2337534,3.759810006216854e-17,238686768.6194957,1.4305430073569937e-17,317319619.2367429,1.062649222272867e-18,4.899324707531761e-16,1.496927815851384e-11,0.005796461689507009,0.0021045738929200805,0.7209898379424311,43635,2024
2024-03-25,149182074.50980598,1.4960307402332025e-11,854429499.472383,4.353127872196744e-16,1590317462.7890735,3.7641705515038196e-17,239217586.398327,1.4242013735718064e-17,316744598.8846412,1.0665110060552432e-18,4.882630174764859e-16,1.49607956653495e-11,0.01087619334986436,0.02387788585597319,0.7261942127176174,44826,2024
2024-03-26,149224636.37976152,1.4951774657763067e-11,856023605.560358,4.3369299863102967e-16,1589360560.3345077,3.7687044860142275e-17,239742803.37034354,1.417968065500298e-17,316170040.5787322,1.0703907508580601e-18,4.86630114897033e-16,1.4952261287877963e-11,0.006751788012115435,0.019650583758441538,0.7111588907829627,44827,2024
2024-03-27,149267480.54555404,1.4943192689674922e-11,857593478.0529808,4.3210665366455004e-16,1588368904.2527187,3.773411736758424e-17,240262372.69708532,1.4118419616943402e-17,315595937.72207934,1.0742886040815792e-18,4.850334792531593e-16,1.4943677723154174e-11,0.0009516095668180701,-0.0015290241606283343,0.7160183822226676,43048,2024
2024-03-28,149310588.0874222,1.4934565420514056e-11,859138912.4487494,4.305534895439846e-16,1587342702.4572148,3.7782922626712593e-17,240776241.58691218,1.4058220365764225e-17,315022277.02350897,1.078204760629477e-18,4.834728372970909e-16,1.4935048893351352e-11,-0.0036852344589678185,-0.01215462994867049,0.7186827236211338,44524,2024
2024-03-29,149353933.74313918,1.4925898027862342e-11,860659702.3324424,4.2903325363991865e-16,1586282162.8209994,3.783346052323574e-17,241284351.38210112,1.399907356868521e-17,314449038.93681246,1.0821394611627462e-18,4.819479271930024e-16,1.4926379975789536e-11,0.0007835703453881392,0.0025078607172437876,0.7134291664527938,43048,2024
2024-03-30,149397485.80922818,1.4917196958461768e-11,862155638.406777,4.2754570431608013e-16,1585187493.8146143,3.7885731206214795e-17,241786637.72189906,1.3940970773235758e-17,313876198.2274749,1.0860929893966786e-18,4.804584992849274e-16,1.4917677416961053e-11,0.00883034129386344,0.01707907330796124,0.7148009617182368,43340,2024
2024-03-31,149441206.11292824,1.4908469927982317e-11,863626507.6035265,4.2609061167502808e-16,1584058905.3573222,3.793973504457194e-17,242283030.77796283,1.3883904358313777e-17,313303724.67173874,1.0900656683719883e-18,4.790043167462857e-16,1.4908948932299064e-11,0.0036934017500973235,3.511451408301304e-05,0.7148542070721284,44230,2024
2024-04-01,149485050.06775194,1.4899725904088125e-11,865072092.26384,4.2466775821839133e-16,1582896609.9237723,3.799547257087645e-17,242773455.58920726,1.3827867476176813e-17,312731583.93271047,1.0940578553495811e-18,4.775851561207942e-16,1.4900203489244248e-11,0.0031385087029337567,0.004058978243721759,0.7180165834470801,43342,2024
2024-04-02,149528966.88574985,1.489097505837657e-11,866492169.4171392,4.232769393973944e-16,1581700824.0191543,3.8052944406713007e-17,243257832.58682254,1.377285397545902e-17,312159738.7244706,1.0980699344976109e-18,4.76200807714064e-16,1.4891451259184282e-11,0.0066710081815981575,0.02107236293535607,0.7161668484841716,43045,2024
2024-04-03,149572900.1172115,1.4882228653448293e-11,867886510.2885678,4.219179639324164e-16,1580471770.2169783,3.8112151159898014e-17,243736078.48759532,1.3718858285921346e-17,311588150.4475938,1.1021023059911118e-18,4.748510756842268e-16,1.4882703504523978e-11,0.012700364094368524,0.026081248257485125,0.7103921973684139,43342,2024
2024-04-04,149616788.80042204,1.4873498809362172e-11,869254880.3251168,4.2059065362976333e-16,1579209679.9974976,3.817309328147323e-17,244208107.81434494,1.3665875237473472e-17,311016781.51595116,1.1061553698254545e-18,4.735357775185354e-16,1.487397234513969e-11,0.0033866257996830215,0.0009043478761909809,0.7148267278205747,42463,2024
2024-04-05,149660569.5716393,1.4864798080701946e-11,870597040.2080975,4.1929484226241977e-16,1577914797.5538392,3.823577087356311e-17,244673835.3151448,1.3613899785761514e-17,310445598.52768034,1.1102295030508865e-18,4.722547424247952e-16,1.4865270335444372e-11,0.006778909810640563,0.017209351422714608,0.7120213420550482,43637,2024
