date,sun_distance_au,sun_influence,jupiter_distance_au,jupiter_influence,saturn_distance_au,saturn_influence,venus_distance_au,venus_influence,mars_distance_au,mars_influence,total_planetary_influence,total_influence,coherence_mean,coherence_median,coherence_std,coherence_count,year,total_gravitational_influence
2021-10-09,149447204.88880485,1.4907273107005618e-11,651135496.5358034,7.49568193678136e-16,1426534721.9423923,4.67812965997524e-17,123714889.49464343,5.324927089319341e-17,393066356.3745096,6.925514322633692e-19,8.502913126033452e-16,1.4908123398318218e-11,0.006495495517187,0.0048595469979761,1.8210703579222929,40470,2021,8.502913126033451e-16
2021-10-10,149403660.82685217,1.4915963895630187e-11,653019385.4292625,7.452495889155585e-16,1428859204.0995169,4.662921186332687e-17,122576161.78825475,5.424323373551875e-17,392889108.48691046,6.931764481531504e-19,8.468152109625573e-16,1.4916810710841148e-11,-0.0119782046543468,-0.0163528660027743,1.811934914125142,41616,2021,8.468152109625573e-16
2021-10-11,149360007.8786074,1.4924684047167168e-11,654927409.5466547,7.409135881536314e-16,1431198261.1669695,4.6476920928678476e-17,121436275.4181484,5.5266343474598774e-17,392702594.34045446,6.9383505300029705e-19,8.43350687609909e-16,1.4925527397854782e-11,-0.0040671775326442,-0.015179463028394,1.8197616084895467,41041,2021,8.433506876099089e-16
2021-10-12,149316305.5777095,1.4933421719595383e-11,656858843.2035276,7.36562816124805e-16,1433551123.5115156,4.632448261641216e-17,120295302.1465681,5.631969239442803e-17,392506888.9860073,6.9452712282525935e-19,8.399015182584706e-16,1.4934261621113638e-11,-0.010764738377973,-0.0189951033550499,1.8076990861932856,41616,2021,8.399015182584705e-16
2021-10-13,149272617.73343948,1.4942164173277508e-11,658812968.9523189,7.321998123528023e-16,1435917034.1216166,4.617195389697619e-17,119153327.47085878,5.74044101604081e-17,392302072.7470686,6.952525208114076e-19,8.364714289309979e-16,1.4943000644706442e-11,-0.0215398747253625,-0.0242404118562263,1.8195607230971929,42486,2021,8.364714289309979e-16
2021-10-14,149229008.44951582,1.4950898564772374e-11,660789080.8249617,7.278270245155344e-16,1438295250.424391,4.601938979611584e-17,118010447.82468754,5.852166744607726e-17,392088226.846867,6.960111125536453e-19,8.33064092870281e-16,1.4951731628865245e-11,-0.0225999071545571,-0.0221864088007409,1.8226459146487215,41041,2021,8.330640928702811e-16
2021-10-15,149185538.95627084,1.4959612581873463e-11,662786485.8183575,7.234468061621078e-16,1440685044.4148538,4.586684341223409e-17,116866767.6047534,5.967268017677372e-17,391865429.9061657,6.968027783520599e-19,8.296831325294676e-16,1.4960442265005988e-11,-0.0063673583971166,-0.0077515088167622,1.8153314529621185,40470,2021,8.296831325294676e-16
2021-10-16,149142265.34222117,1.4968294901602594e-11,664804504.0571179,7.19061417588097e-16,1443085701.6517098,4.571436600667751e-17,115722396.45020825,6.085871403481457e-17,391633755.41677016,6.9762742216154325e-19,8.263321250517505e-16,1.4969121233727644e-11,-0.0017050515706071,0.002155245886253,1.820385065215701,40470,2021,8.263321250517506e-16
2021-10-17,149099237.057251,1.497693549568387e-11,666842468.0802209,7.146730287164568e-16,1445496519.597209,4.556200713423777e-17,114577446.9386461,6.208108906071094e-17,391393270.0653476,6.984849776187408e-19,8.230146098890242e-16,1.497775851029376e-11,-0.004892314479956,-0.0014461632210492,1.8154313650757008,40470,2021,8.230146098890243e-16
2021-10-18,149056496.0072402,1.4985525818720807e-11,668899721.5777901,7.102837231593922e-16,1447916805.6127892,4.540981479279457e-17,113432032.7007093,6.334118432166014e-17,391144032.7229815,6.9937541177917975e-19,8.197340976856259e-16,1.4986345552818492e-11,0.0054908209715539,0.0098762239750659,1.8220561867526368,41612,2021,8.19734097685626e-16
2021-10-19,149014076.09991008,1.4994058906513358e-11,670975617.7767762,7.058955029578964e-16,1450345874.7854478,4.5257835580374455e-17,112286266.90287624,6.464044267128522e-17,390886093.9544255,7.002987270637468e-19,8.164940799366198e-16,1.499487540059329e-11,0.008992830144446,-0.0094744384856126,1.8206585049295243,41040,2021,8.164940799366198e-16
2021-10-20,148972003.16148522,1.5002529400106544e-11,673069517.6013254,7.015102936809536e-16,1452783047.6940873,4.510611485244081e-17,111140261.06240135,6.598037561351496e-17,390619495.9602607,7.012549617048786e-19,8.132980391086144e-16,1.5003342698145652e-11,0.0070099110445101,-0.0018624788066991,1.822469894194214,41328,2021,8.132980391086143e-16
2021-10-21,148930295.17884246,1.5010933504219197e-11,675180787.7186439,6.971299496187862e-16,1455227648.217274,4.4954696873003955e-17,109994124.18966636,6.736256824815804e-17,390344272.898136,7.022441888658269e-19,8.10149458928814e-16,1.5011743653678128e-11,-0.0135449783482541,-0.0304415448727632,1.822432522651316,41616,2021,8.10149458928814e-16
2021-10-22,148888962.82006204,1.5019268889136913e-11,677308798.5955126,6.927562587940943e-16,1457679001.4968996,4.4803624952606626e-17,108847962.26692767,6.878868425225906e-17,390060451.5242053,7.032665146249932e-19,8.070518345135849e-16,1.5020075940971427e-11,-0.0025978238173793,-0.0102141827626815,1.8140552931935336,41328,2021,8.070518345135849e-16
2021-10-23,148848010.15924025,1.5027534550700256e-11,679452922.6992847,6.883909475184361e-16,1460136432.1712246,4.4652941566595485e-17,107701878.05656528,7.026047086038322e-17,389768052.0661197,7.043220751260316e-19,8.04008682020541e-16,1.5028338559382278e-11,0.015584210492521,-0.0019520430498822,1.8202988482396911,41905,2021,8.040086820205409e-16
2021-10-24,148807435.5011619,1.503573064925195e-11,681612532.957261,6.840356842825301e-16,1462599262.958398,4.4502688449346927e-17,106555971.19393806,7.177976384980466e-17,389467089.2085536,7.05411033308116e-19,8.010235476149897e-16,1.5036531672799566e-11,-0.0023964624373001,-0.0048194534116888,1.8095942901354016,41041,2021,8.010235476149898e-16
2021-10-25,148767232.18750525,1.5043858351375088e-11,683787001.5363585,6.796920828905492e-16,1465066813.6109562,4.4352906663981504e-17,105410338.47734895,7.334849259959082e-17,389157573.06169367,7.065335756756297e-19,7.981000157297971e-16,1.504465645139082e-11,0.0067756385937169,0.0094449045292041,1.8120936551196225,41616,2021,7.981000157297971e-16
2021-10-26,148727389.27790686,1.505191969605838e-11,685975698.9333277,6.753617048989833e-16,1467538400.1897993,4.420363665148248e-17,104265074.23722014,7.496868535687824e-17,388839510.0012569,7.076899095088842e-19,7.952417168168529e-16,1.5052714937775195e-11,0.0047567071088316,0.0062068159004799,1.816946599685931,42195,2021,7.952417168168529e-16
2021-10-27,148687892.0351527,1.5059917499784343e-11,688177993.2924545,6.71046061561756e-16,1470013334.541627,4.405491826686593e-17,103120270.65772948,7.664247489357437e-17,388512903.3128161,7.088802607644022e-19,7.924523349829608e-16,1.5060709952119326e-11,-0.0263263188098291,-0.0155654990297035,1.819123667936332,42486,2021,7.924523349829607e-16
2021-10-28,148648722.19764942,1.5067855304199272e-11,690393249.8074875,6.667466155865338e-16,1472490923.8201385,4.3906790812362964e-17,101976017.93870944,7.83721047623588e-17,388177753.6356889,7.101048726907056e-19,7.897356160339465e-16,1.5068645039815307e-11,-0.0194704053082815,-0.0105015544470427,1.8179795423711145,41328,2021,7.897356160339463e-16
2021-10-29,148609858.08913824,1.50757373564847e-11,692620830.0264153,6.624647830583201e-16,1474970469.8755884,4.3759293078117096e-17,100832404.22284807,8.015993635326584e-17,387834059.2758857,7.113640049150006e-19,7.870953764946179e-16,1.5076524451861195e-11,-0.0293877649078532,-0.0190387382855992,1.829330571204192,41328,2021,7.87095376494618e-16
2021-10-30,148571274.69437364,1.5083568596489048e-11,694860090.8693695,6.582019358754846e-16,1477451268.3562846,4.36124633993594e-17,99689515.27585363,8.200845689454208e-17,387481816.5409089,7.126579324456858e-19,7.845355141018317e-16,1.508435313200315e-11,-0.0039255653543714,-0.0084330028727635,1.8186056527477457,42195,2021,7.845355141018318e-16
2021-10-31,148532943.9197377,1.5091354606173336e-11,697110383.2059778,6.539594049486537e-16,1479932607.433116,4.346633973469752e-17,98547434.0039022,8.392028840207046e-17,387121020.3380301,7.139869436963308e-19,7.82060020029118e-16,1.5092136666193366e-11,0.0119279946511414,0.0065564408446237,1.808785431335021,42778,2021,7.82060020029118e-16
2021-11-01,148494835.34847814,1.509910145820303e-11,699371049.9467554,6.497384841909338e-16,1482413766.1981146,4.332095976178578e-17,97406240.0328556,8.589819731710068e-17,386751665.3558524,7.153513363269059e-19,7.796729926061471e-16,1.5099881131195634e-11,0.0047816387840653,-0.0030147868135132,1.8148458988016043,43357,2021,7.796729926061471e-16
2021-11-02,148456917.8526615,1.5106815389470912e-11,701641423.8187295,6.455404349269465e-16,1484894013.0230076,4.317636097312588e-17,96266009.74985738,8.794510415686967e-17,386373748.17108464,7.167514095860298e-19,7.773786514665281e-16,1.5107592768122378e-11,-0.0133043216286078,-0.0210773678633547,1.809229756275691,41905,2021,7.773786514665281e-16
2021-11-03,148419162.35861436,1.5114502238195948e-11,703920825.3283752,6.413664897684243e-16,1487372604.4782276,4.303258073723581e-17,95126817.3642606,9.006409199850911e-17,385987270.50578713,7.181874522367984e-19,7.751813499564061e-16,1.511527741954591e-11,-0.0119037562501212,-0.0187368135450734,1.809358603776161,41616,2021,7.75181349956406e-16
2021-11-04,148381545.7800975,1.5122166640466582e-11,706208561.7845366,6.372178544101468e-16,1489848785.694059,4.288965627562738e-17,93988737.55216368,9.225841226144586e-17,385592243.5156103,7.196597264071567e-19,7.730855826736272e-16,1.5122939726049254e-11,0.0003714290440046,-0.0016747464168779,1.8173645182718,40751,2021,7.730855826736272e-16
