[03:44:11] [INFO] ================================================================================
[03:44:11] [INFO] 
[03:44:11] [INFO] ================================================================================
[03:44:11] [INFO] TEP GNSS Analysis Package v0.15 (Jaipur) - STEP 3.1: Robust Block Bootstrap
[05:13:20] [DEBUG] Loaded 410 chunks...
[05:13:20] [DEBUG] Loaded 420 chunks...
[05:13:20] [DEBUG] Loaded 430 chunks...
[05:13:21] [SUCCESS] Loaded Step 2.1 dataset: 10,809,084 pairs for esa_final
[05:13:21] [DEBUG] Columns: ['date', 'station_i', 'station_j', 'dist_km', 'plateau_phase', 'station1_lat', 'station1_lon', 'station2_lat', 'station2_lon', 'azimuth', 'delta_longitude', 'delta_local_time', 'coherence']
[05:13:21] [DEBUG] Date range: 2023-01-01 00:00:00 to 2025-06-30 00:00:00
[05:13:21] [WARNING] High memory usage detected in After loading esa_final dataset: 2052.16 MB
[05:13:21] [DEBUG] Memory cleanup: RSS=2052.16 MB, VMS=7272.23 MB
[05:13:22] [INFO] ============================================================
[05:13:22] [PROCESS] Starting Station Block Bootstrap Analysis...
[05:13:23] [DEBUG] Configuration: TEP_STATION_BOOTSTRAP_SAMPLES = 50
[05:13:23] [INFO] Running 50 station bootstrap samples from 289 unique stations
[05:13:23] [INFO] Using 96 parallel workers for bootstrap processing
[05:13:23] [PROCESS] Pre-computing station pairs for efficient bootstrap sampling...
[05:13:23] [PROCESS] Pre-computing station 1/289: ALBH
[05:14:02] [PROCESS] Pre-computing station 51/289: HOFN
[05:14:42] [PROCESS] Pre-computing station 101/289: POAL
[05:15:21] [PROCESS] Pre-computing station 151/289: DAV1
[05:16:00] [PROCESS] Pre-computing station 201/289: MQZG
[05:16:39] [PROCESS] Pre-computing station 251/289: EBRE
[05:17:09] [SUCCESS] Pre-computed pair indices for 289 stations
[05:17:09] [DEBUG] Memory cleanup: RSS=2701.00 MB, VMS=7932.23 MB
[05:17:09] [WARNING] High memory usage detected in Station Bootstrap Start: 2701.00 MB
[05:17:10] [DEBUG] Memory cleanup: RSS=2701.00 MB, VMS=7932.23 MB
